planet,endpoint_type,to_sign,event_utc_dt,year,to_nakshatra,to_pada
sun,rashi,Aries,1900-03-15T04:41:57.187500+00:00,1900,,
sun,rashi,Pisces,1900-09-16T15:11:15+00:00,1900,,
sun,rashi,Aries,1901-03-14T08:15:00+00:00,1901,,
sun,rashi,Pisces,1901-09-17T02:15:42.187500+00:00,1901,,
sun,rashi,Aries,1902-03-15T20:06:33.750000+00:00,1902,,
sun,rashi,Pisces,1902-09-18T03:55:32.812500+00:00,1902,,
sun,rashi,Aries,1903-03-15T17:52:58.125000+00:00,1903,,
sun,rashi,Pisces,1903-09-17T18:54:08.437500+00:00,1903,,
sun,rashi,Aries,1904-03-14T18:10:32.812500+00:00,1904,,
sun,rashi,Pisces,1904-09-18T04:32:06.562500+00:00,1904,,
sun,rashi,Aries,1905-03-15T21:25:18.750000+00:00,1905,,
sun,rashi,Pisces,1905-09-16T13:30:42.187500+00:00,1905,,
sun,rashi,Aries,1906-03-14T05:41:43.125000+00:00,1906,,
sun,rashi,Pisces,1906-09-17T16:27:53.437500+00:00,1906,,
sun,rashi,Aries,1907-03-15T20:15:00+00:00,1907,,
sun,rashi,Pisces,1907-09-17T10:46:52.500000+00:00,1907,,
sun,rashi,Aries,1908-03-14T04:04:41.250000+00:00,1908,,
sun,rashi,Pisces,1908-09-17T02:22:01.875000+00:00,1908,,
sun,rashi,Aries,1909-03-15T05:16:24.375000+00:00,1909,,
sun,rashi,Pisces,1909-09-18T02:26:57.187500+00:00,1909,,
sun,rashi,Aries,1910-03-15T22:22:58.125000+00:00,1910,,
sun,rashi,Pisces,1910-09-17T06:45:42.187500+00:00,1910,,
sun,rashi,Aries,1911-03-15T08:12:11.250000+00:00,1911,,
sun,rashi,Pisces,1911-09-19T00:49:55.312500+00:00,1911,,
sun,rashi,Aries,1912-03-15T17:04:27.187500+00:00,1912,,
sun,rashi,Pisces,1912-09-16T11:30:28.125000+00:00,1912,,
sun,rashi,Aries,1913-03-14T07:40:32.812500+00:00,1913,,
sun,rashi,Pisces,1913-09-17T10:28:35.625000+00:00,1913,,
sun,rashi,Aries,1914-03-15T18:18:16.875000+00:00,1914,,
sun,rashi,Pisces,1914-09-17T18:19:41.250000+00:00,1914,,
sun,rashi,Aries,1915-03-15T04:21:33.750000+00:00,1915,,
sun,rashi,Pisces,1915-09-17T06:43:35.625000+00:00,1915,,
sun,rashi,Aries,1916-03-14T13:22:58.125000+00:00,1916,,
sun,rashi,Pisces,1916-09-17T23:30:28.125000+00:00,1916,,
sun,rashi,Aries,1917-03-15T11:21:19.687500+00:00,1917,,
sun,rashi,Pisces,1917-09-16T09:04:13.125000+00:00,1917,,
sun,rashi,Aries,1918-03-14T16:57:25.312500+00:00,1918,,
sun,rashi,Pisces,1918-09-18T09:38:40.312500+00:00,1918,,
sun,rashi,Aries,1919-03-16T11:15:42.187500+00:00,1919,,
sun,rashi,Pisces,1919-09-17T16:46:10.312500+00:00,1919,,
sun,rashi,Aries,1920-03-14T08:57:11.250000+00:00,1920,,
sun,rashi,Pisces,1920-09-17T21:25:18.750000+00:00,1920,,
sun,rashi,Aries,1921-03-16T05:32:34.687500+00:00,1921,,
sun,rashi,Pisces,1921-09-17T22:00:28.125000+00:00,1921,,
sun,rashi,Aries,1922-03-15T07:27:11.250000+00:00,1922,,
sun,rashi,Pisces,1922-09-16T23:12:53.437500+00:00,1922,,
sun,rashi,Aries,1923-03-15T00:42:53.437500+00:00,1923,,
sun,rashi,Pisces,1923-09-18T09:11:57.187500+00:00,1923,,
sun,rashi,Aries,1924-03-15T03:57:39.375000+00:00,1924,,
sun,rashi,Pisces,1924-09-16T01:44:03.750000+00:00,1924,,
sun,rashi,Aries,1925-03-13T19:54:36.562500+00:00,1925,,
sun,rashi,Pisces,1925-09-17T21:23:12.187500+00:00,1925,,
sun,rashi,Aries,1926-03-16T13:11:00.937500+00:00,1926,,
sun,rashi,Pisces,1926-09-17T19:51:47.812500+00:00,1926,,
sun,rashi,Aries,1927-03-15T08:21:19.687500+00:00,1927,,
sun,rashi,Pisces,1927-09-18T21:28:07.500000+00:00,1927,,
sun,rashi,Aries,1928-03-15T20:02:20.625000+00:00,1928,,
sun,rashi,Pisces,1928-09-18T00:20:23.437500+00:00,1928,,
sun,rashi,Aries,1929-03-15T11:07:58.125000+00:00,1929,,
sun,rashi,Pisces,1929-09-16T03:06:19.687500+00:00,1929,,
sun,rashi,Aries,1930-03-14T03:47:06.562500+00:00,1930,,
sun,rashi,Pisces,1930-09-18T06:26:00.937500+00:00,1930,,
sun,rashi,Aries,1931-03-15T23:08:40.312500+00:00,1931,,
sun,rashi,Pisces,1931-09-16T14:03:45+00:00,1931,,
sun,rashi,Aries,1932-03-13T12:02:48.750000+00:00,1932,,
sun,rashi,Pisces,1932-09-18T01:11:00.937500+00:00,1932,,
sun,rashi,Aries,1933-03-16T04:08:54.375000+00:00,1933,,
sun,rashi,Pisces,1933-09-17T14:31:10.312500+00:00,1933,,
sun,rashi,Aries,1934-03-15T11:09:22.500000+00:00,1934,,
sun,rashi,Pisces,1934-09-17T14:59:17.812500+00:00,1934,,
sun,rashi,Aries,1935-03-16T05:50:51.562500+00:00,1935,,
sun,rashi,Pisces,1935-09-19T00:47:48.750000+00:00,1935,,
sun,rashi,Aries,1936-03-15T13:52:30+00:00,1936,,
sun,rashi,Pisces,1936-09-16T04:33:30.937500+00:00,1936,,
sun,rashi,Aries,1937-03-14T09:27:25.312500+00:00,1937,,
sun,rashi,Pisces,1937-09-18T11:55:46.875000+00:00,1937,,
sun,rashi,Aries,1938-03-16T08:09:22.500000+00:00,1938,,
sun,rashi,Pisces,1938-09-17T07:23:40.312500+00:00,1938,,
sun,rashi,Aries,1939-03-14T14:19:13.125000+00:00,1939,,
sun,rashi,Pisces,1939-09-18T17:36:47.812500+00:00,1939,,
sun,rashi,Aries,1940-03-15T19:56:00.937500+00:00,1940,,
sun,rashi,Pisces,1940-09-17T12:55:32.812500+00:00,1940,,
sun,rashi,Aries,1941-03-14T16:44:45.937500+00:00,1941,,
sun,rashi,Pisces,1941-09-15T22:01:10.312500+00:00,1941,,
sun,rashi,Aries,1942-03-15T05:41:43.125000+00:00,1942,,
sun,rashi,Pisces,1942-09-18T16:06:47.812500+00:00,1942,,
sun,rashi,Aries,1943-03-16T08:42:25.312500+00:00,1943,,
sun,rashi,Pisces,1943-09-17T05:04:27.187500+00:00,1943,,
sun,rashi,Aries,1944-03-14T01:21:33.750000+00:00,1944,,
sun,rashi,Pisces,1944-09-19T02:41:00.937500+00:00,1944,,
sun,rashi,Aries,1945-03-16T23:50:51.562500+00:00,1945,,
sun,rashi,Pisces,1945-09-17T07:33:30.937500+00:00,1945,,
sun,rashi,Aries,1946-03-14T14:00:56.250000+00:00,1946,,
sun,rashi,Pisces,1946-09-17T20:44:31.875000+00:00,1946,,
sun,rashi,Aries,1947-03-15T23:17:48.750000+00:00,1947,,
sun,rashi,Pisces,1947-09-17T17:17:06.562500+00:00,1947,,
sun,rashi,Aries,1948-03-14T09:45:42.187500+00:00,1948,,
sun,rashi,Pisces,1948-09-15T06:07:44.062500+00:00,1948,,
sun,rashi,Aries,1949-03-13T12:08:26.250000+00:00,1949,,
sun,rashi,Pisces,1949-09-18T11:28:21.562500+00:00,1949,,
sun,rashi,Aries,1950-03-16T18:39:22.500000+00:00,1950,,
sun,rashi,Pisces,1950-09-17T04:03:59.062500+00:00,1950,,
sun,rashi,Aries,1951-03-14T22:11:00.937500+00:00,1951,,
sun,rashi,Pisces,1951-09-20T21:49:55.312500+00:00,1951,,
sun,rashi,Aries,1952-03-17T09:12:39.375000+00:00,1952,,
sun,rashi,Pisces,1952-09-17T14:24:08.437500+00:00,1952,,
sun,rashi,Aries,1953-03-14T20:51:33.750000+00:00,1953,,
sun,rashi,Pisces,1953-09-16T05:07:15.937500+00:00,1953,,
sun,rashi,Aries,1954-03-15T09:13:21.562500+00:00,1954,,
sun,rashi,Pisces,1954-09-18T06:41:29.062500+00:00,1954,,
sun,rashi,Aries,1955-03-15T14:05:09.375000+00:00,1955,,
sun,rashi,Pisces,1955-09-15T19:34:13.125000+00:00,1955,,
sun,rashi,Aries,1956-03-13T01:41:57.187500+00:00,1956,,
sun,rashi,Pisces,1956-09-19T02:06:33.750000+00:00,1956,,
sun,rashi,Aries,1957-03-16T10:40:32.812500+00:00,1957,,
sun,rashi,Pisces,1957-09-16T14:52:15.937500+00:00,1957,,
sun,rashi,Aries,1958-03-14T14:54:22.500000+00:00,1958,,
sun,rashi,Pisces,1958-09-19T16:24:22.500000+00:00,1958,,
sun,rashi,Aries,1959-03-17T18:47:06.562500+00:00,1959,,
sun,rashi,Pisces,1959-09-18T08:38:54.375000+00:00,1959,,
sun,rashi,Aries,1960-03-14T15:45:00+00:00,1960,,
sun,rashi,Pisces,1960-09-15T19:33:30.937500+00:00,1960,,
sun,rashi,Aries,1961-03-15T12:40:04.687500+00:00,1961,,
sun,rashi,Pisces,1961-09-18T20:26:57.187500+00:00,1961,,
sun,rashi,Aries,1962-03-16T03:22:30+00:00,1962,,
sun,rashi,Pisces,1962-09-16T12:43:35.625000+00:00,1962,,
sun,rashi,Aries,1963-03-13T16:04:41.250000+00:00,1963,,
sun,rashi,Pisces,1963-09-19T21:42:11.250000+00:00,1963,,
sun,rashi,Aries,1964-03-16T09:11:57.187500+00:00,1964,,
sun,rashi,Pisces,1964-09-16T06:42:53.437500+00:00,1964,,
sun,rashi,Aries,1965-03-13T04:40:32.812500+00:00,1965,,
sun,rashi,Pisces,1965-09-15T23:16:24.375000+00:00,1965,,
sun,rashi,Aries,1966-03-17T12:47:48.750000+00:00,1966,,
sun,rashi,Pisces,1966-09-17T23:33:16.875000+00:00,1966,,
sun,rashi,Aries,1967-03-15T16:33:30.937500+00:00,1967,,
sun,rashi,Pisces,1967-09-17T12:18:16.875000+00:00,1967,,
sun,rashi,Aries,1968-03-15T20:30:28.125000+00:00,1968,,
sun,rashi,Pisces,1968-09-20T05:50:09.375000+00:00,1968,,
sun,rashi,Aries,1969-03-17T09:56:57.187500+00:00,1969,,
sun,rashi,Pisces,1969-09-16T08:43:49.687500+00:00,1969,,
