planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
jupiter,nakshatra,Revati,4,1901-07-10T20:28:42.656250+00:00,1901
jupiter,nakshatra,Ashwini,1,1907-02-02T17:58:14.531250+00:00,1907
jupiter,nakshatra,Revati,4,1913-05-21T03:05:16.406250+00:00,1913
jupiter,nakshatra,Ashwini,1,1918-12-15T00:34:27.187500+00:00,1918
jupiter,nakshatra,Revati,4,1925-04-01T18:44:38.906250+00:00,1925
jupiter,nakshatra,Ashwini,1,1930-10-26T15:00:00+00:00,1930
jupiter,nakshatra,Revati,4,1937-02-10T03:27:46.406250+00:00,1937
jupiter,nakshatra,Ashwini,1,1942-09-05T20:12:11.250000+00:00,1942
jupiter,nakshatra,Revati,4,1948-12-22T13:45:28.125000+00:00,1948
jupiter,nakshatra,Ashwini,1,1954-07-16T14:56:50.156250+00:00,1954
jupiter,nakshatra,Revati,4,1960-11-02T01:33:09.843750+00:00,1960
jupiter,nakshatra,Ashwini,1,1966-05-28T05:06:33.750000+00:00,1966
jupiter,nakshatra,Revati,4,1972-09-12T20:54:22.500000+00:00,1972
jupiter,nakshatra,Ashwini,1,1978-04-08T16:27:32.343750+00:00,1978
jupiter,nakshatra,Revati,4,1984-07-26T05:05:09.375000+00:00,1984
jupiter,nakshatra,Ashwini,1,1990-02-19T06:15:49.218750+00:00,1990
jupiter,nakshatra,Revati,4,1996-06-06T07:54:36.562500+00:00,1996
jupiter,nakshatra,Ashwini,1,2001-12-31T02:13:56.718750+00:00,2001
jupiter,nakshatra,Revati,4,2008-04-18T04:02:55.781250+00:00,2008
jupiter,nakshatra,Ashwini,1,2013-11-10T00:24:15.468750+00:00,2013
jupiter,nakshatra,Revati,4,2020-02-27T13:07:08.906250+00:00,2020
jupiter,nakshatra,Ashwini,1,2025-09-21T13:09:36.562500+00:00,2025
