planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
ketu,nakshatra,Mrigashirsha,4,1900-08-24T20:25:11.718750+00:00,1900
ketu,nakshatra,Rohini,4,1901-05-03T15:25:39.843750+00:00,1901
ketu,nakshatra,Krittika,4,1902-01-10T10:26:07.968750+00:00,1902
ketu,nakshatra,Bharani,4,1902-09-19T05:26:36.093750+00:00,1902
ketu,nakshatra,Ashwini,4,1903-05-29T00:27:04.218750+00:00,1903
ketu,nakshatra,Revati,4,1904-02-04T19:27:32.343750+00:00,1904
ketu,nakshatra,Uttara Bhadrapada,4,1904-10-13T14:28:00.468750+00:00,1904
ketu,nakshatra,Purva Bhadrapada,4,1905-06-22T09:28:28.593750+00:00,1905
ketu,nakshatra,Shatabhisha,4,1906-03-01T04:28:56.718750+00:00,1906
ketu,nakshatra,Dhanishta,4,1906-11-07T23:29:24.843750+00:00,1906
ketu,nakshatra,Shravana,4,1907-07-17T18:29:52.968750+00:00,1907
ketu,nakshatra,Uttara Ashadha,4,1908-03-25T13:30:21.093750+00:00,1908
ketu,nakshatra,Purva Ashadha,4,1908-12-02T08:30:49.218750+00:00,1908
ketu,nakshatra,Mula,4,1909-08-11T03:31:17.343750+00:00,1909
ketu,nakshatra,Jyeshtha,4,1910-04-19T22:31:45.468750+00:00,1910
ketu,nakshatra,Anuradha,4,1910-12-27T17:32:13.593750+00:00,1910
ketu,nakshatra,Vishakha,4,1911-09-05T12:32:41.718750+00:00,1911
ketu,nakshatra,Svati,4,1912-05-14T07:27:53.437500+00:00,1912
ketu,nakshatra,Chitra,4,1913-01-21T02:28:21.562500+00:00,1913
ketu,nakshatra,Hasta,4,1913-09-29T21:28:49.687500+00:00,1913
ketu,nakshatra,Uttara Phalguni,4,1914-06-08T16:29:17.812500+00:00,1914
ketu,nakshatra,Purva Phalguni,4,1915-02-15T11:29:45.937500+00:00,1915
ketu,nakshatra,Magha,4,1915-10-25T06:30:14.062500+00:00,1915
ketu,nakshatra,Ashlesha,4,1916-07-03T01:30:42.187500+00:00,1916
ketu,nakshatra,Pushya,4,1917-03-11T20:31:10.312500+00:00,1917
ketu,nakshatra,Punarvasu,4,1917-11-18T15:31:38.437500+00:00,1917
ketu,nakshatra,Ardra,4,1918-07-28T10:32:06.562500+00:00,1918
ketu,nakshatra,Mrigashirsha,4,1919-04-06T05:32:34.687500+00:00,1919
ketu,nakshatra,Rohini,4,1919-12-14T00:33:02.812500+00:00,1919
ketu,nakshatra,Krittika,4,1920-08-21T19:33:30.937500+00:00,1920
ketu,nakshatra,Bharani,4,1921-04-30T14:33:59.062500+00:00,1921
ketu,nakshatra,Ashwini,4,1922-01-07T09:34:27.187500+00:00,1922
ketu,nakshatra,Revati,4,1922-09-16T04:34:55.312500+00:00,1922
ketu,nakshatra,Uttara Bhadrapada,4,1923-05-25T23:35:23.437500+00:00,1923
ketu,nakshatra,Purva Bhadrapada,4,1924-02-01T18:30:35.156250+00:00,1924
ketu,nakshatra,Shatabhisha,4,1924-10-10T13:31:03.281250+00:00,1924
ketu,nakshatra,Dhanishta,4,1925-06-19T08:31:31.406250+00:00,1925
ketu,nakshatra,Shravana,4,1926-02-26T03:31:59.531250+00:00,1926
ketu,nakshatra,Uttara Ashadha,4,1926-11-04T22:32:27.656250+00:00,1926
ketu,nakshatra,Purva Ashadha,4,1927-07-14T17:32:55.781250+00:00,1927
ketu,nakshatra,Mula,4,1928-03-22T12:33:23.906250+00:00,1928
ketu,nakshatra,Jyeshtha,4,1928-11-29T07:33:52.031250+00:00,1928
ketu,nakshatra,Anuradha,4,1929-08-08T02:34:20.156250+00:00,1929
ketu,nakshatra,Vishakha,4,1930-04-16T21:34:48.281250+00:00,1930
ketu,nakshatra,Svati,4,1930-12-24T16:35:16.406250+00:00,1930
ketu,nakshatra,Chitra,4,1931-09-02T11:35:44.531250+00:00,1931
ketu,nakshatra,Hasta,4,1932-05-11T06:36:12.656250+00:00,1932
ketu,nakshatra,Uttara Phalguni,4,1933-01-18T01:36:40.781250+00:00,1933
ketu,nakshatra,Purva Phalguni,4,1933-09-26T20:37:08.906250+00:00,1933
ketu,nakshatra,Magha,4,1934-06-05T15:37:37.031250+00:00,1934
ketu,nakshatra,Ashlesha,4,1935-02-12T10:38:05.156250+00:00,1935
ketu,nakshatra,Pushya,4,1935-10-22T05:33:16.875000+00:00,1935
ketu,nakshatra,Punarvasu,4,1936-06-30T00:33:45+00:00,1936
ketu,nakshatra,Ardra,4,1937-03-08T19:34:13.125000+00:00,1937
ketu,nakshatra,Mrigashirsha,4,1937-11-15T14:34:41.250000+00:00,1937
ketu,nakshatra,Rohini,4,1938-07-25T09:35:09.375000+00:00,1938
ketu,nakshatra,Krittika,4,1939-04-03T04:35:37.500000+00:00,1939
ketu,nakshatra,Bharani,4,1939-12-10T23:36:05.625000+00:00,1939
ketu,nakshatra,Ashwini,4,1940-08-18T18:36:33.750000+00:00,1940
ketu,nakshatra,Revati,4,1941-04-27T13:37:01.875000+00:00,1941
ketu,nakshatra,Uttara Bhadrapada,4,1942-01-04T08:37:30+00:00,1942
ketu,nakshatra,Purva Bhadrapada,4,1942-09-13T03:37:58.125000+00:00,1942
ketu,nakshatra,Shatabhisha,4,1943-05-22T22:38:26.250000+00:00,1943
ketu,nakshatra,Dhanishta,4,1944-01-29T17:38:54.375000+00:00,1944
ketu,nakshatra,Shravana,4,1944-10-07T12:39:22.500000+00:00,1944
ketu,nakshatra,Uttara Ashadha,4,1945-06-16T07:39:50.625000+00:00,1945
ketu,nakshatra,Purva Ashadha,4,1946-02-23T02:40:18.750000+00:00,1946
ketu,nakshatra,Mula,4,1946-11-01T21:40:46.875000+00:00,1946
ketu,nakshatra,Jyeshtha,4,1947-07-11T16:35:58.593750+00:00,1947
ketu,nakshatra,Anuradha,4,1948-03-19T11:36:26.718750+00:00,1948
ketu,nakshatra,Vishakha,4,1948-11-26T06:36:54.843750+00:00,1948
