planet,endpoint_type,to_sign,event_utc_dt,year
ketu,rashi,Taurus,1900-12-28T17:55:25.781250+00:00,1900
ketu,rashi,Aries,1902-07-18T06:41:29.062500+00:00,1902
ketu,rashi,Pisces,1904-02-04T19:27:32.343750+00:00,1904
ketu,rashi,Aquarius,1905-08-24T08:13:35.625000+00:00,1905
ketu,rashi,Capricorn,1907-03-13T20:59:38.906250+00:00,1907
ketu,rashi,Sagittarius,1908-09-30T09:45:42.187500+00:00,1908
ketu,rashi,Scorpio,1910-04-19T22:31:45.468750+00:00,1910
ketu,rashi,Libra,1911-11-07T11:17:48.750000+00:00,1911
ketu,rashi,Virgo,1913-05-26T23:58:35.625000+00:00,1913
ketu,rashi,Leo,1914-12-14T12:44:38.906250+00:00,1914
ketu,rashi,Cancer,1916-07-03T01:30:42.187500+00:00,1916
ketu,rashi,Gemini,1918-01-20T14:16:45.468750+00:00,1918
ketu,rashi,Taurus,1919-08-10T03:02:48.750000+00:00,1919
ketu,rashi,Aries,1921-02-26T15:48:52.031250+00:00,1921
ketu,rashi,Pisces,1922-09-16T04:34:55.312500+00:00,1922
ketu,rashi,Aquarius,1924-04-04T17:15:42.187500+00:00,1924
ketu,rashi,Capricorn,1925-10-23T06:01:45.468750+00:00,1925
ketu,rashi,Sagittarius,1927-05-12T18:47:48.750000+00:00,1927
ketu,rashi,Scorpio,1928-11-29T07:33:52.031250+00:00,1928
ketu,rashi,Libra,1930-06-18T20:19:55.312500+00:00,1930
ketu,rashi,Virgo,1932-01-06T09:05:58.593750+00:00,1932
ketu,rashi,Leo,1933-07-25T21:52:01.875000+00:00,1933
ketu,rashi,Cancer,1935-02-12T10:38:05.156250+00:00,1935
ketu,rashi,Gemini,1936-08-31T23:18:52.031250+00:00,1936
ketu,rashi,Taurus,1938-03-21T12:04:55.312500+00:00,1938
ketu,rashi,Aries,1939-10-09T00:50:58.593750+00:00,1939
ketu,rashi,Pisces,1941-04-27T13:37:01.875000+00:00,1941
ketu,rashi,Aquarius,1942-11-15T02:23:05.156250+00:00,1942
ketu,rashi,Capricorn,1944-06-03T15:09:08.437500+00:00,1944
ketu,rashi,Sagittarius,1945-12-22T03:55:11.718750+00:00,1945
ketu,rashi,Scorpio,1947-07-11T16:35:58.593750+00:00,1947
ketu,rashi,Libra,1949-01-28T05:22:01.875000+00:00,1949
ketu,rashi,Virgo,1950-08-17T18:08:05.156250+00:00,1950
ketu,rashi,Leo,1952-03-06T06:54:08.437500+00:00,1952
ketu,rashi,Cancer,1953-09-23T19:40:11.718750+00:00,1953
ketu,rashi,Gemini,1955-04-13T08:26:15+00:00,1955
ketu,rashi,Taurus,1956-10-30T21:12:18.281250+00:00,1956
ketu,rashi,Aries,1958-05-20T09:58:21.562500+00:00,1958
ketu,rashi,Pisces,1959-12-07T22:39:08.437500+00:00,1959
ketu,rashi,Aquarius,1961-06-26T11:25:11.718750+00:00,1961
ketu,rashi,Capricorn,1963-01-14T00:11:15+00:00,1963
ketu,rashi,Sagittarius,1964-08-02T12:57:18.281250+00:00,1964
ketu,rashi,Scorpio,1966-02-20T01:43:21.562500+00:00,1966
ketu,rashi,Libra,1967-09-09T14:29:24.843750+00:00,1967
ketu,rashi,Virgo,1969-03-29T03:15:28.125000+00:00,1969
ketu,rashi,Leo,1970-10-16T15:56:15+00:00,1970
ketu,rashi,Cancer,1972-05-05T04:42:18.281250+00:00,1972
ketu,rashi,Gemini,1973-11-22T17:28:21.562500+00:00,1973
ketu,rashi,Taurus,1975-06-12T06:14:24.843750+00:00,1975
ketu,rashi,Aries,1976-12-29T19:00:28.125000+00:00,1976
ketu,rashi,Pisces,1978-07-19T07:46:31.406250+00:00,1978
ketu,rashi,Aquarius,1980-02-05T20:32:34.687500+00:00,1980
ketu,rashi,Capricorn,1981-08-25T09:13:21.562500+00:00,1981
ketu,rashi,Sagittarius,1983-03-14T21:59:24.843750+00:00,1983
ketu,rashi,Scorpio,1984-10-01T10:45:28.125000+00:00,1984
