planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
mars,nakshatra,Ashwini,1,1900-07-18T18:14:03.750000+00:00,1900
mars,nakshatra,Revati,4,1901-08-06T05:01:38.437500+00:00,1901
mars,nakshatra,Ashwini,1,1902-06-05T15:42:11.250000+00:00,1902
mars,nakshatra,Revati,4,1903-06-24T07:46:10.312500+00:00,1903
mars,nakshatra,Ashwini,1,1904-04-22T19:30:00+00:00,1904
mars,nakshatra,Revati,4,1905-05-11T04:32:06.562500+00:00,1905
mars,nakshatra,Ashwini,1,1906-03-11T02:41:43.125000+00:00,1906
mars,nakshatra,Revati,4,1907-03-28T21:57:39.375000+00:00,1907
mars,nakshatra,Ashwini,1,1908-01-27T07:53:54.375000+00:00,1908
mars,nakshatra,Revati,4,1909-02-12T13:02:34.687500+00:00,1909
mars,nakshatra,Ashwini,1,1909-12-14T10:17:20.625000+00:00,1909
mars,nakshatra,Revati,4,1910-12-31T06:52:44.062500+00:00,1910
mars,nakshatra,Ashwini,1,1911-11-01T07:20:51.562500+00:00,1911
mars,nakshatra,Revati,4,1912-11-17T07:20:09.375000+00:00,1912
mars,nakshatra,Ashwini,1,1913-09-17T23:22:01.875000+00:00,1913
mars,nakshatra,Revati,4,1914-10-05T12:42:53.437500+00:00,1914
mars,nakshatra,Ashwini,1,1915-08-05T15:09:08.437500+00:00,1915
mars,nakshatra,Revati,4,1916-08-22T19:05:23.437500+00:00,1916
mars,nakshatra,Ashwini,1,1917-06-22T12:12:39.375000+00:00,1917
mars,nakshatra,Revati,4,1918-07-10T23:38:54.375000+00:00,1918
mars,nakshatra,Ashwini,1,1919-05-10T12:54:08.437500+00:00,1919
mars,nakshatra,Revati,4,1920-05-27T22:59:31.875000+00:00,1920
mars,nakshatra,Ashwini,1,1921-03-27T17:17:06.562500+00:00,1921
mars,nakshatra,Revati,4,1922-04-14T17:21:19.687500+00:00,1922
mars,nakshatra,Ashwini,1,1923-02-12T23:43:07.500000+00:00,1923
mars,nakshatra,Revati,4,1924-03-01T10:08:12.187500+00:00,1924
mars,nakshatra,Ashwini,1,1924-12-31T03:20:23.437500+00:00,1924
mars,nakshatra,Revati,4,1926-01-17T03:37:15.937500+00:00,1926
mars,nakshatra,Ashwini,1,1926-11-18T01:16:38.437500+00:00,1926
mars,nakshatra,Revati,4,1927-12-05T01:33:30.937500+00:00,1927
mars,nakshatra,Ashwini,1,1928-10-04T19:52:30+00:00,1928
mars,nakshatra,Revati,4,1929-10-22T05:00:14.062500+00:00,1929
mars,nakshatra,Ashwini,1,1930-08-22T13:03:59.062500+00:00,1930
mars,nakshatra,Revati,4,1931-09-09T10:40:32.812500+00:00,1931
mars,nakshatra,Ashwini,1,1932-07-09T07:29:17.812500+00:00,1932
mars,nakshatra,Revati,4,1933-07-27T14:28:21.562500+00:00,1933
mars,nakshatra,Ashwini,1,1934-05-27T07:42:39.375000+00:00,1934
mars,nakshatra,Revati,4,1935-06-14T14:59:17.812500+00:00,1935
mars,nakshatra,Ashwini,1,1936-04-13T11:16:24.375000+00:00,1936
mars,nakshatra,Revati,4,1937-05-01T12:02:48.750000+00:00,1937
mars,nakshatra,Ashwini,1,1938-03-01T15:00:42.187500+00:00,1938
mars,nakshatra,Revati,4,1939-03-19T06:14:03.750000+00:00,1939
mars,nakshatra,Ashwini,1,1940-01-17T18:23:54.375000+00:00,1940
mars,nakshatra,Revati,4,1941-02-03T00:32:20.625000+00:00,1941
mars,nakshatra,Ashwini,1,1941-12-04T19:30:00+00:00,1941
mars,nakshatra,Revati,4,1942-12-21T22:03:59.062500+00:00,1942
mars,nakshatra,Ashwini,1,1943-10-22T14:41:00.937500+00:00,1943
mars,nakshatra,Revati,4,1944-11-07T22:56:00.937500+00:00,1944
mars,nakshatra,Ashwini,1,1945-09-08T09:20:23.437500+00:00,1945
mars,nakshatra,Revati,4,1946-09-26T02:05:09.375000+00:00,1946
mars,nakshatra,Ashwini,1,1947-07-27T05:55:46.875000+00:00,1947
mars,nakshatra,Revati,4,1948-08-13T05:38:54.375000+00:00,1948
mars,nakshatra,Ashwini,1,1949-06-13T03:41:29.062500+00:00,1949
mars,nakshatra,Revati,4,1950-07-01T07:06:05.625000+00:00,1950
mars,nakshatra,Ashwini,1,1951-05-01T04:26:29.062500+00:00,1951
mars,nakshatra,Revati,4,1952-05-18T05:12:53.437500+00:00,1952
mars,nakshatra,Ashwini,1,1953-03-18T08:07:15.937500+00:00,1953
mars,nakshatra,Revati,4,1954-04-05T02:12:53.437500+00:00,1954
mars,nakshatra,Ashwini,1,1955-02-03T10:06:05.625000+00:00,1955
mars,nakshatra,Revati,4,1956-02-20T21:45:00+00:00,1956
mars,nakshatra,Ashwini,1,1956-12-21T10:54:36.562500+00:00,1956
mars,nakshatra,Revati,4,1958-01-07T17:34:41.250000+00:00,1958
mars,nakshatra,Ashwini,1,1958-11-08T10:01:10.312500+00:00,1958
mars,nakshatra,Revati,4,1959-11-25T17:09:22.500000+00:00,1959
mars,nakshatra,Ashwini,1,1960-09-25T06:08:26.250000+00:00,1960
mars,nakshatra,Revati,4,1961-10-12T18:57:39.375000+00:00,1961
mars,nakshatra,Ashwini,1,1962-08-13T01:30:00+00:00,1962
mars,nakshatra,Revati,4,1963-08-30T20:56:29.062500+00:00,1963
mars,nakshatra,Ashwini,1,1964-06-30T00:04:55.312500+00:00,1964
mars,nakshatra,Revati,4,1965-07-17T22:48:16.875000+00:00,1965
mars,nakshatra,Ashwini,1,1966-05-17T23:39:36.562500+00:00,1966
mars,nakshatra,Revati,4,1967-06-04T22:51:05.625000+00:00,1967
mars,nakshatra,Ashwini,1,1968-04-04T00:10:32.812500+00:00,1968
mars,nakshatra,Revati,4,1969-04-21T19:54:36.562500+00:00,1969
mars,nakshatra,Ashwini,1,1970-02-20T02:44:31.875000+00:00,1970
mars,nakshatra,Revati,4,1971-03-09T16:47:34.687500+00:00,1971
mars,nakshatra,Ashwini,1,1972-01-08T04:15:14.062500+00:00,1972
mars,nakshatra,Revati,4,1973-01-24T13:58:07.500000+00:00,1973
mars,nakshatra,Ashwini,1,1973-11-25T03:04:13.125000+00:00,1973
mars,nakshatra,Revati,4,1974-12-12T12:22:30+00:00,1974
mars,nakshatra,Ashwini,1,1975-10-13T00:28:49.687500+00:00,1975
mars,nakshatra,Revati,4,1976-10-29T13:07:30+00:00,1976
mars,nakshatra,Ashwini,1,1977-08-29T22:21:33.750000+00:00,1977
mars,nakshatra,Revati,4,1978-09-16T14:41:43.125000+00:00,1978
mars,nakshatra,Ashwini,1,1979-07-17T19:28:35.625000+00:00,1979
mars,nakshatra,Revati,4,1980-08-03T14:58:35.625000+00:00,1980
mars,nakshatra,Ashwini,1,1981-06-03T18:59:45.937500+00:00,1981
mars,nakshatra,Revati,4,1982-06-21T14:22:44.062500+00:00,1982
mars,nakshatra,Ashwini,1,1983-04-21T20:02:20.625000+00:00,1983
mars,nakshatra,Revati,4,1984-05-08T13:11:43.125000+00:00,1984
mars,nakshatra,Ashwini,1,1985-03-08T20:15:42.187500+00:00,1985
mars,nakshatra,Revati,4,1986-03-26T11:07:58.125000+00:00,1986
mars,nakshatra,Ashwini,1,1987-01-24T20:00:56.250000+00:00,1987
mars,nakshatra,Revati,4,1988-02-11T09:21:47.812500+00:00,1988
mars,nakshatra,Ashwini,1,1988-12-11T20:17:48.750000+00:00,1988
mars,nakshatra,Revati,4,1989-12-29T08:45:56.250000+00:00,1989
mars,nakshatra,Ashwini,1,1990-10-29T18:10:32.812500+00:00,1990
mars,nakshatra,Revati,4,1991-11-16T08:31:10.312500+00:00,1991
mars,nakshatra,Ashwini,1,1992-09-15T16:13:49.687500+00:00,1992
mars,nakshatra,Revati,4,1993-10-03T07:51:47.812500+00:00,1993
