planet,endpoint_type,to_sign,event_utc_dt,year
mercury,rashi,Pisces,1900-01-09T04:24:22.500000+00:00,1900
mercury,rashi,Aries,1900-02-27T21:16:52.500000+00:00,1900
mercury,rashi,Pisces,1900-04-07T06:00:00+00:00,1900
mercury,rashi,Aries,1900-05-26T18:56:15+00:00,1900
mercury,rashi,Pisces,1900-07-04T06:22:30+00:00,1900
mercury,rashi,Aries,1900-08-22T18:56:15+00:00,1900
mercury,rashi,Pisces,1900-09-30T03:28:07.500000+00:00,1900
mercury,rashi,Aries,1900-11-18T19:52:30+00:00,1900
mercury,rashi,Pisces,1900-12-27T01:18:45+00:00,1900
mercury,rashi,Aries,1901-02-14T18:39:22.500000+00:00,1901
mercury,rashi,Pisces,1901-03-25T02:37:30+00:00,1901
mercury,rashi,Aries,1901-05-13T16:07:30+00:00,1901
mercury,rashi,Pisces,1901-06-21T03:28:07.500000+00:00,1901
mercury,rashi,Aries,1901-08-09T15:45:00+00:00,1901
mercury,rashi,Pisces,1901-09-17T00:50:37.500000+00:00,1901
mercury,rashi,Aries,1901-11-05T16:46:52.500000+00:00,1901
mercury,rashi,Pisces,1901-12-13T22:18:45+00:00,1901
mercury,rashi,Aries,1902-02-01T15:56:15+00:00,1902
mercury,rashi,Pisces,1902-03-11T23:15:00+00:00,1902
mercury,rashi,Aries,1902-04-30T13:24:22.500000+00:00,1902
mercury,rashi,Pisces,1902-06-08T00:28:07.500000+00:00,1902
mercury,rashi,Aries,1902-07-27T12:33:45+00:00,1902
mercury,rashi,Pisces,1902-09-03T22:18:45+00:00,1902
mercury,rashi,Aries,1902-10-23T13:35:37.500000+00:00,1902
mercury,rashi,Pisces,1902-11-30T19:24:22.500000+00:00,1902
mercury,rashi,Aries,1903-01-19T13:07:30+00:00,1903
mercury,rashi,Pisces,1903-02-26T19:52:30+00:00,1903
mercury,rashi,Aries,1903-04-17T10:41:15+00:00,1903
mercury,rashi,Pisces,1903-05-25T21:22:30+00:00,1903
mercury,rashi,Aries,1903-07-14T09:28:07.500000+00:00,1903
mercury,rashi,Pisces,1903-08-21T19:46:52.500000+00:00,1903
mercury,rashi,Aries,1903-10-10T10:18:45+00:00,1903
mercury,rashi,Pisces,1903-11-17T16:41:15+00:00,1903
mercury,rashi,Aries,1904-01-06T10:18:45+00:00,1904
mercury,rashi,Pisces,1904-02-13T16:30:00+00:00,1904
mercury,rashi,Aries,1904-04-03T08:03:45+00:00,1904
mercury,rashi,Pisces,1904-05-11T18:11:15+00:00,1904
