planet,endpoint_type,to_sign,event_utc_dt,year
moon,rashi,Pisces,1900-01-12T23:31:52.500000+00:00,1900
moon,rashi,Aries,1900-01-27T12:39:22.500000+00:00,1900
moon,rashi,Pisces,1900-02-09T01:58:07.500000+00:00,1900
moon,rashi,Aries,1900-02-23T17:15:00+00:00,1900
moon,rashi,Pisces,1900-03-08T02:43:07.500000+00:00,1900
moon,rashi,Aries,1900-03-22T18:16:52.500000+00:00,1900
moon,rashi,Pisces,1900-04-04T05:54:22.500000+00:00,1900
moon,rashi,Aries,1900-04-18T19:52:30+00:00,1900
moon,rashi,Pisces,1900-05-01T13:07:30+00:00,1900
moon,rashi,Aries,1900-05-16T00:50:37.500000+00:00,1900
moon,rashi,Pisces,1900-05-28T22:24:22.500000+00:00,1900
moon,rashi,Aries,1900-06-12T08:43:07.500000+00:00,1900
moon,rashi,Pisces,1900-06-25T06:28:07.500000+00:00,1900
moon,rashi,Aries,1900-07-09T16:58:07.500000+00:00,1900
moon,rashi,Pisces,1900-07-22T11:09:22.500000+00:00,1900
moon,rashi,Aries,1900-08-05T23:03:45+00:00,1900
moon,rashi,Pisces,1900-08-18T12:28:07.500000+00:00,1900
moon,rashi,Aries,1900-09-02T01:46:52.500000+00:00,1900
moon,rashi,Pisces,1900-09-14T13:41:15+00:00,1900
moon,rashi,Aries,1900-09-29T03:00:00+00:00,1900
moon,rashi,Pisces,1900-10-11T18:39:22.500000+00:00,1900
moon,rashi,Aries,1900-10-26T05:54:22.500000+00:00,1900
moon,rashi,Pisces,1900-11-08T04:01:52.500000+00:00,1900
moon,rashi,Aries,1900-11-22T11:54:22.500000+00:00,1900
moon,rashi,Pisces,1900-12-05T14:43:07.500000+00:00,1900
moon,rashi,Aries,1900-12-19T19:35:37.500000+00:00,1900
moon,rashi,Pisces,1901-01-01T22:24:22.500000+00:00,1901
moon,rashi,Aries,1901-01-16T01:52:30+00:00,1901
moon,rashi,Pisces,1901-01-29T00:56:15+00:00,1901
moon,rashi,Aries,1901-02-12T05:03:45+00:00,1901
moon,rashi,Pisces,1901-02-25T01:13:07.500000+00:00,1901
moon,rashi,Aries,1901-03-11T06:33:45+00:00,1901
moon,rashi,Pisces,1901-03-24T04:24:22.500000+00:00,1901
moon,rashi,Aries,1901-04-07T09:22:30+00:00,1901
moon,rashi,Pisces,1901-04-20T12:39:22.500000+00:00,1901
moon,rashi,Aries,1901-05-04T14:43:07.500000+00:00,1901
moon,rashi,Pisces,1901-05-17T23:26:15+00:00,1901
moon,rashi,Aries,1901-05-31T21:11:15+00:00,1901
moon,rashi,Pisces,1901-06-14T09:00:00+00:00,1901
moon,rashi,Aries,1901-06-28T03:00:00+00:00,1901
moon,rashi,Pisces,1901-07-11T14:26:15+00:00,1901
