planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
rahu,nakshatra,Mula,4,1900-04-20T23:00:14.062500+00:00,1900
rahu,nakshatra,Jyeshtha,4,1900-12-28T17:55:25.781250+00:00,1900
rahu,nakshatra,Anuradha,4,1901-09-06T12:55:53.906250+00:00,1901
rahu,nakshatra,Vishakha,4,1902-05-16T07:56:22.031250+00:00,1902
rahu,nakshatra,Svati,4,1903-01-23T02:56:50.156250+00:00,1903
rahu,nakshatra,Chitra,4,1903-10-01T21:57:18.281250+00:00,1903
rahu,nakshatra,Hasta,4,1904-06-09T16:57:46.406250+00:00,1904
rahu,nakshatra,Uttara Phalguni,4,1905-02-16T11:58:14.531250+00:00,1905
rahu,nakshatra,Purva Phalguni,4,1905-10-26T06:58:42.656250+00:00,1905
rahu,nakshatra,Magha,4,1906-07-05T01:59:10.781250+00:00,1906
rahu,nakshatra,Ashlesha,4,1907-03-13T20:59:38.906250+00:00,1907
rahu,nakshatra,Pushya,4,1907-11-20T16:00:07.031250+00:00,1907
rahu,nakshatra,Punarvasu,4,1908-07-29T11:00:35.156250+00:00,1908
rahu,nakshatra,Ardra,4,1909-04-07T06:01:03.281250+00:00,1909
rahu,nakshatra,Mrigashirsha,4,1909-12-15T01:01:31.406250+00:00,1909
rahu,nakshatra,Rohini,4,1910-08-23T20:01:59.531250+00:00,1910
rahu,nakshatra,Krittika,4,1911-05-02T15:02:27.656250+00:00,1911
rahu,nakshatra,Bharani,4,1912-01-09T10:02:55.781250+00:00,1912
rahu,nakshatra,Ashwini,4,1912-09-17T04:58:07.500000+00:00,1912
rahu,nakshatra,Revati,4,1913-05-26T23:58:35.625000+00:00,1913
rahu,nakshatra,Uttara Bhadrapada,4,1914-02-02T18:59:03.750000+00:00,1914
rahu,nakshatra,Purva Bhadrapada,4,1914-10-12T13:59:31.875000+00:00,1914
rahu,nakshatra,Shatabhisha,4,1915-06-21T09:00:00+00:00,1915
rahu,nakshatra,Dhanishta,4,1916-02-28T04:00:28.125000+00:00,1916
rahu,nakshatra,Shravana,4,1916-11-05T23:00:56.250000+00:00,1916
rahu,nakshatra,Uttara Ashadha,4,1917-07-15T18:01:24.375000+00:00,1917
rahu,nakshatra,Purva Ashadha,4,1918-03-24T13:01:52.500000+00:00,1918
rahu,nakshatra,Mula,4,1918-12-01T08:02:20.625000+00:00,1918
rahu,nakshatra,Jyeshtha,4,1919-08-10T03:02:48.750000+00:00,1919
rahu,nakshatra,Anuradha,4,1920-04-17T22:03:16.875000+00:00,1920
rahu,nakshatra,Vishakha,4,1920-12-25T17:03:45+00:00,1920
rahu,nakshatra,Svati,4,1921-09-03T12:04:13.125000+00:00,1921
rahu,nakshatra,Chitra,4,1922-05-13T07:04:41.250000+00:00,1922
rahu,nakshatra,Hasta,4,1923-01-20T02:05:09.375000+00:00,1923
rahu,nakshatra,Uttara Phalguni,4,1923-09-28T21:00:21.093750+00:00,1923
rahu,nakshatra,Purva Phalguni,4,1924-06-06T16:00:49.218750+00:00,1924
rahu,nakshatra,Magha,4,1925-02-13T11:01:17.343750+00:00,1925
rahu,nakshatra,Ashlesha,4,1925-10-23T06:01:45.468750+00:00,1925
rahu,nakshatra,Pushya,4,1926-07-02T01:02:13.593750+00:00,1926
rahu,nakshatra,Punarvasu,4,1927-03-10T20:02:41.718750+00:00,1927
rahu,nakshatra,Ardra,4,1927-11-17T15:03:09.843750+00:00,1927
rahu,nakshatra,Mrigashirsha,4,1928-07-26T10:03:37.968750+00:00,1928
rahu,nakshatra,Rohini,4,1929-04-04T05:04:06.093750+00:00,1929
rahu,nakshatra,Krittika,4,1929-12-12T00:04:34.218750+00:00,1929
rahu,nakshatra,Bharani,4,1930-08-20T19:05:02.343750+00:00,1930
rahu,nakshatra,Ashwini,4,1931-04-29T14:05:30.468750+00:00,1931
rahu,nakshatra,Revati,4,1932-01-06T09:05:58.593750+00:00,1932
rahu,nakshatra,Uttara Bhadrapada,4,1932-09-14T04:06:26.718750+00:00,1932
rahu,nakshatra,Purva Bhadrapada,4,1933-05-23T23:06:54.843750+00:00,1933
rahu,nakshatra,Shatabhisha,4,1934-01-30T18:07:22.968750+00:00,1934
rahu,nakshatra,Dhanishta,4,1934-10-09T13:07:51.093750+00:00,1934
rahu,nakshatra,Shravana,4,1935-06-18T08:03:02.812500+00:00,1935
rahu,nakshatra,Uttara Ashadha,4,1936-02-25T03:03:30.937500+00:00,1936
rahu,nakshatra,Purva Ashadha,4,1936-11-02T22:03:59.062500+00:00,1936
rahu,nakshatra,Mula,4,1937-07-12T17:04:27.187500+00:00,1937
rahu,nakshatra,Jyeshtha,4,1938-03-21T12:04:55.312500+00:00,1938
rahu,nakshatra,Anuradha,4,1938-11-28T07:05:23.437500+00:00,1938
rahu,nakshatra,Vishakha,4,1939-08-07T02:05:51.562500+00:00,1939
rahu,nakshatra,Svati,4,1940-04-14T21:06:19.687500+00:00,1940
rahu,nakshatra,Chitra,4,1940-12-22T16:06:47.812500+00:00,1940
rahu,nakshatra,Hasta,4,1941-08-31T11:07:15.937500+00:00,1941
rahu,nakshatra,Uttara Phalguni,4,1942-05-10T06:07:44.062500+00:00,1942
rahu,nakshatra,Purva Phalguni,4,1943-01-17T01:08:12.187500+00:00,1943
