planet,endpoint_type,to_nakshatra,to_pada,event_utc_dt,year
venus,nakshatra,Ashwini,1,1900-02-27T20:48:45+00:00,1900
venus,nakshatra,Revati,4,1900-06-19T13:41:15+00:00,1900
venus,nakshatra,Ashwini,1,1900-10-10T14:20:37.500000+00:00,1900
venus,nakshatra,Revati,4,1901-01-29T22:46:52.500000+00:00,1901
venus,nakshatra,Ashwini,1,1901-05-23T01:18:45+00:00,1901
venus,nakshatra,Revati,4,1901-09-11T19:01:52.500000+00:00,1901
venus,nakshatra,Ashwini,1,1902-01-03T02:20:37.500000+00:00,1902
venus,nakshatra,Revati,4,1902-04-24T14:20:37.500000+00:00,1902
venus,nakshatra,Ashwini,1,1902-08-15T12:33:45+00:00,1902
venus,nakshatra,Revati,4,1902-12-05T00:05:37.500000+00:00,1902
venus,nakshatra,Ashwini,1,1903-03-28T06:50:37.500000+00:00,1903
venus,nakshatra,Revati,4,1903-07-18T00:50:37.500000+00:00,1903
venus,nakshatra,Ashwini,1,1903-11-08T03:50:37.500000+00:00,1903
venus,nakshatra,Revati,4,1904-02-27T12:33:45+00:00,1904
venus,nakshatra,Ashwini,1,1904-06-19T12:56:15+00:00,1904
venus,nakshatra,Revati,4,1904-10-09T05:09:22.500000+00:00,1904
venus,nakshatra,Ashwini,1,1905-01-30T12:56:15+00:00,1905
venus,nakshatra,Revati,4,1905-05-22T03:16:52.500000+00:00,1905
venus,nakshatra,Ashwini,1,1905-09-12T02:31:52.500000+00:00,1905
venus,nakshatra,Revati,4,1906-01-01T12:11:15+00:00,1906
venus,nakshatra,Ashwini,1,1906-04-24T17:09:22.500000+00:00,1906
venus,nakshatra,Revati,4,1906-08-14T11:15:00+00:00,1906
venus,nakshatra,Ashwini,1,1906-12-05T16:30:00+00:00,1906
venus,nakshatra,Revati,4,1907-03-27T02:48:45+00:00,1907
venus,nakshatra,Ashwini,1,1907-07-18T01:35:37.500000+00:00,1907
venus,nakshatra,Revati,4,1907-11-06T15:39:22.500000+00:00,1907
venus,nakshatra,Ashwini,1,1908-02-27T23:09:22.500000+00:00,1908
venus,nakshatra,Revati,4,1908-06-18T15:33:45+00:00,1908
venus,nakshatra,Ashwini,1,1908-10-09T16:30:00+00:00,1908
venus,nakshatra,Revati,4,1909-01-29T01:13:07.500000+00:00,1909
